Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price PEN,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url,Product Image 3 Url,Product Image 4 Url
prod_01KWQ3F3M5W60EXYRT2VJMA43D,plumon-1-5plz-blanco-pol,Plumón Hipoalergénico,,"Consigue un descanso superior con nuestro Plumón Hipoalergénico, diseñado para brindar suavidad, abrigo y confort cada noche. Su relleno de microfibra hipoalergénica es ideal para quienes buscan una alternativa ligera y cómoda a las plumas tradicionales",published,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,,230,170,,,,,100% Microfibra,,,,,,TRUE,,variant_01KWQ3F3PPS54KBMM53MWB9HYR,1.5 plz,24020204011,,FALSE,TRUE,,,,,,,,,116.9,,Tamaño,1.5 plz,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/4.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/5.webp
prod_01KWQ3F3M5WMDYPJ76VH5A1T3N,plumon-2plz-blanco-pol,Plumón Hipoalergénico,,"Consigue un descanso superior con nuestro Plumón Hipoalergénico, diseñado para brindar suavidad, abrigo y confort cada noche. Su relleno de microfibra hipoalergénica es ideal para quienes buscan una alternativa ligera y cómoda a las plumas tradicionales",published,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,,230,200,,,,,100% Microfibra,,,,,,TRUE,,variant_01KWQ3F3PPF575T57W5CZ5S88Y,2 plz,24020204012,,FALSE,TRUE,,,,,,,,,140.9,,Tamaño,2 plz,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/4.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/5.webp
prod_01KWQ3F3M5QQQHKPCAWEE7JKE3,plumon-queen-blanco-pol,Plumón Hipoalergénico,,"Consigue un descanso superior con nuestro Plumón Hipoalergénico, diseñado para brindar suavidad, abrigo y confort cada noche. Su relleno de microfibra hipoalergénica es ideal para quienes buscan una alternativa ligera y cómoda a las plumas tradicionales",published,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,,250,235,,,,,100% Microfibra,,,,,,TRUE,,variant_01KWQ3F3PP4AEWRJ2PDEAP9HQ6,Queen,24020204013,,FALSE,TRUE,,,,,,,,,175.9,,Tamaño,Queen,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/4.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/5.webp
prod_01KWQ3F3M59BDTJN42GKJ7NDY4,plumon-king-blanco-pol,Plumón Hipoalergénico,,"Consigue un descanso superior con nuestro Plumón Hipoalergénico, diseñado para brindar suavidad, abrigo y confort cada noche. Su relleno de microfibra hipoalergénica es ideal para quienes buscan una alternativa ligera y cómoda a las plumas tradicionales",published,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,,250,280,,,,,100% Microfibra,,,,,,TRUE,,variant_01KWQ3F3PPWKGYM8KWT52J1RV2,King,24020204014,,FALSE,TRUE,,,,,,,,,198.9,,Tamaño,King,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/plumon1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/1.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/4.webp,https://bucket.mach-home.com/24%20Plum%C3%B3n%20Hipoalergenico/5.webp
prod_01KWQ3F3M5D41A5FY70AY81560,fu-plumonco-1-5plz-verde-alg,Funda Plumón Verde Pastel,,"Nuestras fundas de plumón 100% algodón de 200 hilos brindan suavidad, frescura y confort para un descanso más cómodo cada noche. Gracias a su composición hipoalergénica y transpirable, ayudan a absorber la humedad, siendo ideales para usar durante todo el año. Además, cuentan con sujetadores internos que permiten fijar el plumón y evitar que se deslice dentro de la funda, siendo el complemento ideal para usar junto a los plumones MACH HOME.",published,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,,230,170,,,,,100% Algodón 200 Hilos,,,,,,TRUE,,variant_01KWQ3F3PP5A6Z3AQBVT081JJ0,1.5 plz,24070303011,,FALSE,TRUE,,,,,,,,,136.9,,Tamaño,1.5 plz,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(2).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(3).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(4).webp
prod_01KWQ3F3M5F24ADKB6P7BGCQV3,fu-plumonco-2plz-verde-alg,Funda Plumón Verde Pastel,,"Nuestras fundas de plumón 100% algodón de 200 hilos brindan suavidad, frescura y confort para un descanso más cómodo cada noche. Gracias a su composición hipoalergénica y transpirable, ayudan a absorber la humedad, siendo ideales para usar durante todo el año. Además, cuentan con sujetadores internos que permiten fijar el plumón y evitar que se deslice dentro de la funda, siendo el complemento ideal para usar junto a los plumones MACH HOME.",published,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,,230,200,,,,,100% Algodón 200 Hilos,,,,,,TRUE,,variant_01KWQ3F3PPYBBX277AH4QDY7AM,2 plz,24070303012,,FALSE,TRUE,,,,,,,,,164.9,,Tamaño,2 plz,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(2).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(3).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(4).webp
prod_01KWQ3F3M5J1RQN8AN8Y93TAAE,fu-plumonco-queen-verde-alg,Funda Plumón Verde Pastel,,"Nuestras fundas de plumón 100% algodón de 200 hilos brindan suavidad, frescura y confort para un descanso más cómodo cada noche. Gracias a su composición hipoalergénica y transpirable, ayudan a absorber la humedad, siendo ideales para usar durante todo el año. Además, cuentan con sujetadores internos que permiten fijar el plumón y evitar que se deslice dentro de la funda, siendo el complemento ideal para usar junto a los plumones MACH HOME.",published,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,,250,235,,,,,100% Algodón 200 Hilos,,,,,,TRUE,,variant_01KWQ3F3PP5DB65KXH32PYCHFB,Queen,24070303013,,FALSE,TRUE,,,,,,,,,198.9,,Tamaño,Queen,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(2).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(3).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(4).webp
prod_01KWQ3F3M5EGFCGV8VGJDKS6RW,fu-plumonco-king-verde-alg,Funda Plumón Verde Pastel,,"Nuestras fundas de plumón 100% algodón de 200 hilos brindan suavidad, frescura y confort para un descanso más cómodo cada noche. Gracias a su composición hipoalergénica y transpirable, ayudan a absorber la humedad, siendo ideales para usar durante todo el año. Además, cuentan con sujetadores internos que permiten fijar el plumón y evitar que se deslice dentro de la funda, siendo el complemento ideal para usar junto a los plumones MACH HOME.",published,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,,250,280,,,,,100% Algodón 200 Hilos,,,,,,TRUE,,variant_01KWQ3F3PPQZYXEYZWYNDWNPH4,King,24070303014,,FALSE,TRUE,,,,,,,,,219.9,,Tamaño,King,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon.webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(2).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(3).webp,https://bucket.mach-home.com/25%20Funda%20Plum%C3%B3n%20Verde%20Pastel/Verde%20Algodon%20(4).webp
prod_01KWQ3F3M5721YPKESKXPA10SN,fu-plumonco-1-5plz-rosado-alg,Funda Plumón Rosado Pastel,,"Nuestras fundas de plumón 100% algodón de 200 hilos brindan suavidad, frescura y confort para un descanso más cómodo cada noche. Gracias a su composición hipoalergénica y transpirable, ayudan a absorber la humedad, siendo ideales para usar durante todo el año. Además, cuentan con sujetadores internos que permiten fijar el plumón y evitar que se deslice dentro de la funda, siendo el complemento ideal para usar junto a los plumones MACH HOME.",published,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon.webp,,230,170,,,,,100% Algodón 200 Hilos,,,,,,TRUE,,variant_01KWQ3F3PPNV2MMKGR024W5V8M,1.5 plz,24130303011,,FALSE,TRUE,,,,,,,,,136.9,,Tamaño,1.5 plz,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon.webp,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon%20(2).webp,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon%20(3).webp,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon%20(4).webp
prod_01KWQ3F3M59DRP99J06TK03JT6,fu-plumonco-2plz-rosado-alg,Funda Plumón Rosado Pastel,,"Nuestras fundas de plumón 100% algodón de 200 hilos brindan suavidad, frescura y confort para un descanso más cómodo cada noche. Gracias a su composición hipoalergénica y transpirable, ayudan a absorber la humedad, siendo ideales para usar durante todo el año. Además, cuentan con sujetadores internos que permiten fijar el plumón y evitar que se deslice dentro de la funda, siendo el complemento ideal para usar junto a los plumones MACH HOME.",published,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon.webp,,230,200,,,,,100% Algodón 200 Hilos,,,,,,TRUE,,variant_01KWQ3F3PPFF228MK9ZG2V18VA,2 plz,24130303012,,FALSE,TRUE,,,,,,,,,164.9,,Tamaño,2 plz,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon.webp,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon%20(2).webp,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon%20(3).webp,https://bucket.mach-home.com/26%20Funda%20Plum%C3%B3n%20Rosado%20Pastel/Rosado%20Algodon%20(4).webp
